シーン名,話者ID,会話ID,日本語１,日本語２,日本語３,日本語４,日本語５,中学生英語１,中学生英語２,中学生英語３,中学生英語４,中学生英語５,ネイティブ英語１,ネイティブ英語２,ネイティブ英語３,ネイティブ英語４,ネイティブ英語５
朝の挨拶,A,1,おはよう、昨日はよく眠れた？,おはよう！ちゃんと眠れた？,おはよー、ぐっすりだった？,おはようございます。昨夜はよく休めましたか？,よっ、寝不足じゃない？,Good morning. Did you sleep well?,Morning! Slept OK?,"Hi, good morning. Sleep good?",Good morning. Were you able to rest?,"Morning, did you get good sleep?",Morning! Sleep alright?,"Hey, good morning. Get enough rest?",Morning! How’d you sleep?,Good morning. Sleep okay last night?,Morning! Rest well?
朝の挨拶,B,2,うん、ぐっすりだったよ。君は？,うん、バッチリ！そっちは？,うん、よく眠れた！あなたは？,はい、おかげさまで。あなたは？,ばっちり！そっちはどう？,"Yes, very well. And you?","Yeah, I slept fine. You?",I slept great. How about you?,"Yes, I was. What about you?","Yes, I did. And you?",Slept like a log. You?,Totally. How about yourself?,Pretty great. You?,"Yeah, out like a light. What about you?",Sure did. You?
朝の挨拶,A,3,まあまあかな。今日の１時間目は数学だよね。,まあまあ。最初の授業、数学だよね？,ちょっと微妙。１時間目は数学だっけ？,まあ普通です。１時間目は数学ですよね。,いまいち。最初、数学じゃん？,"Not bad. First class is math, right?",So-so. Math is first period today.,Just okay. We have math first.,Average. Math class comes first.,So-so. Math starts the day.,"Meh, could’ve been better. We’ve got math first, yeah?",Not really. Math kicks off the day.,"Eh, so-so. First up is math, right?",Kind of restless. Math’s first period.,Could’ve slept more. Math’s up first.
朝の挨拶,B,4,そうだね。宿題やった？,そうそう。宿題終わった？,うん。それより宿題やった？,ええ。宿題は終わりましたか？,だね。宿題やった？,Yes. Did you finish the homework?,That’s right. Did you do the math work?,True. Homework done?,Yes. Did you finish the task?,Right. Homework ready?,Yep. You knock out the homework?,Right. Homework finished?,Yep. Did the assignment?,True. Homework all done?,Yep. Homework sorted?
朝の挨拶,A,5,もちろん。ちょっと難しかったけど。,当たり前！少し手こずったけどね。,やったよ。結構難しかった！,ええ、終えました。少し難解でしたが。,ばっちり。でも難しかったわ。,I did. It was a little hard.,Yes. It took time.,"Yep, though it was tricky.",Sure. Kinda tough.,"Done, but hard.",Sure did—kind of a brain-teaser.,"Finished, but it was rough.",Yep. Took forever though.,It’s done; tricky stuff.,"Yup, though it stumped me."
朝の挨拶,B,6,後で答え合わせしよう。,あとで一緒に確認しよう。,後でチェックし合おうよ。,後ほど答えを合わせましょう。,あとで見比べよう。,Let’s check it later.,We can compare answers later.,Let’s look at it together.,We’ll check later.,We’ll review after class.,Let’s compare notes later.,We’ll swap answers later.,We can go over it later.,Let’s check answers later on.,We’ll trade answers later.
バス停で時刻確認,A,1,次のバスは何時に来る？,次のバス、何時？,バスって次何時だっけ？,次のバスは何時に到着しますか？,バスの時間分かる？,When is the next bus?,What time’s the next bus?,"The next bus, please?",Do you know the bus time?,When does the bus arrive?,Any idea when the next bus shows?,What’s the ETA on the bus?,Next bus?,Do you know when the bus gets here?,Bus timetable say anything?
バス停で時刻確認,B,2,8時15分みたいだよ。,8時15分だよ。,たぶん8:15。,8時15分のようです。,8:15かな。,It comes at 8:15.,About 8:15.,"8:15, I think.",Next one is 8:15.,At 8:15.,Says 8:15 on the board.,About 8:15.,Quarter past eight.,"Eight-fifteen, give or take.","Yeah, 8:15."
バス停で時刻確認,A,3,間に合いそうでよかった。,間に合いそう！,間に合いそうで安心。,間に合いそうで良かったです。,間に合うね。,"Good, we can make it.","Nice, we’re on time.","Great, we’re safe.",Perfect.,Good news.,"Sweet, we’ll make it.",Perfect timing.,Nice.,"Good, we’re fine.",Great.
バス停で時刻確認,B,4,でも少し遅れるかもね。,でもちょっと遅れそう。,でも遅れるかもしれないね。,しかし少し遅れる可能性があります。,でも遅れるかも。,It may be a bit late.,It might be slow.,Maybe some delay.,Could be late.,It might run late.,Might run a bit behind though.,Could be a delay.,Might slip a few minutes.,Unless it’s late again.,Might lag.
